,name,Tc
0,Mo0.39Ru0.61,6.9
1,Tm4Os6Sn19,1.1
2,Nd1Bi0.99Pb0.01S2F0.3O0.7,4.85
3,V0.784Ga0.172Al0.044,9.4
4,N0.82V1,2.9
5,Be0.86Pb0.14,9.7
6,La0.9974Tb0.0026,5.28
7,La2.9628Gd0.0372In1,5.04
8,Pd2Zr0.9Nb0.1Al1,2.1
9,La2.9553Gd0.0447In1,4.3
10,Ho0.75Y0.25Ni2B2C1,8.9
11,Ga0.25Fe0.75Se0.85,6.8
12,Zr54.6Ti23.4Ni22,2.78
13,Ca1Hg3,1.6
14,Pr1Os3.8Ru0.2Sb12,1.655
15,Ga0.02Sn0.98,3.726
16,Er0.95Gd0.05Rh4B4,7.61
17,Au0.499Ga0.501,1.17
18,In0.17Tl0.83,3.45
19,La1.78Sr0.22Cu0.98Zn0.02O4,9.555
20,Al0.08Au0.92,0.088
21,Sr1Ga0.5Si1.5,3.5
22,Nb0.995Ta0.005,9.226
23,Fe1Se0.5S0.5,2.75
24,Ce1Rh1In4.84Sn0.16,1.2
25,Na0.32Co1H2.6O3.3,2.825
26,La2Pt3Ge5,8.1
27,Ga0.1Fe0.9Se0.85,6.8
28,Nb0.64Ta0.36,6.8
29,La0.97Nd0.03Pt1Si1,3.27
30,Bi0.055Sn0.945,3.94
31,Pa1,0.61
32,Mg1.2C1.44B0.16Ni3,6.6
33,Pd2.2S1,1.63
34,Nb0.8V0.2,5.76
35,Ge7Ir3,0.87
36,Fe0.2Ni0.8Zr2,2.13
37,Rh45Ta55,3.37
38,As1Nb3,2.353333333
39,La0.5Th0.5Sn3,4.67
40,Ba1Fe1.84Co0.13Mn0.03As2,8.0
41,La7Ru3,1.835
42,Ir0.125Rh0.125Zr0.75,10.2
43,Al0.999Fe0.001,1.5
44,Y0.6Lu0.4Ir4B4,3.06
45,Sr0.66Eu0.34Fe1.76Co0.24As2,9.82
46,Au0.93In0.07,0.0164
47,Co7Y9,2.85
48,La1Ru4Sb12,3.293333333
49,Al0.25Fe0.75Se0.85,8.5
50,Pd2Y0.25Tm0.75Sn1,3.06
51,Nb0.9Ru0.1,2.8
52,Ca0.67Pt3B2,1.57
53,Pt1V3.5,1.26
54,Pb0.93Tl0.075,6.98
55,Cu0.025V0.975,4.45
56,Ir1Mo1,5.325
57,Th1Ni2B2C1,6.966666667
58,Lu1Ni1.93Co0.14B2C1,10.5
59,Er0.25Ho0.75Rh4B4,6.44
60,Cd0.01In0.99,3.3445
61,U0.9622Th0.0378Be13,0.557
62,Ba1Ti2Sb1.6Sn0.4O1,2.31
63,Nb0.4Ti0.4V0.2,7.6
64,La3Te4,4.0275
65,Gd0.002Th0.998,0.714
66,Nb0.4Zr0.6,8.86
67,Ir0.99V0.01,0.11
68,Cu0.06Ta1S2,4.16
69,La1Ni1Ga2,1.97
70,Y2I0.6Br1.4C2,6.4
71,Au0.3Te0.7,1.99
72,Ho0.5Dy0.5Ni2B2C1,5.905
73,Ir0.66Mo0.34,0.25
74,Rh1W1,3.37
75,Ca0.2Ba1.55La1.25Cu3O6.98,10.4
76,Dy0.9Tm0.1Ni2B2C1,4.55
77,Cu1Th2,3.465
78,Er0.9Gd0.1Rh4B4,6.88
79,In1.015Te1,3.51
80,Pd0.7Se0.3,2.04
81,Cu0.81Ge0.19,0.24
82,Ga1Mo3,0.76
83,V0.75Ge0.2Al0.05,10.3
84,V2Hf0.84Nb0.16,10.67
85,Ge1.85La1,2.17
86,Nb0.72Pd0.18W0.1,1.5
87,La0.05Ce0.95Ru2,7.181
88,Lu4.5Sc0.5Ir4Si10,6.06
89,La1Sn3,6.358285714
90,Pd1Sn2,3.34
91,B2.4Nb1,9.96
92,Ba1Ni2Ge0.8P1.2,1.38
93,Mo64Ru16P20,7.31
94,Zr70.2Ti7.8Ni22,3.32
95,K0.27O3W1,0.5
96,Mo1.935Zr0.065B1C1,6.2
97,La0.8Hf0.2Bi1S2O1,2.36
98,Ta0.05V0.095,4.3
99,La0.6Y0.4,1.29
100,C1S1,9.0
101,La0.2Th0.8Ni1C2,4.2
102,Rh0.4Zr0.6,7.0
103,V0.65Ge0.1Al0.25,7.0
104,La0.2Th0.8,1.87
105,Li1.1Ti1.9O4,10.05
106,Nb25Ti74Ta1,7.55
107,C1Nb0.1Zr0.9,4.2
108,Tm1Ni1.88Co0.24B2C1,1.6
109,Ce1Co1In4.96Cd0.04,2.05
110,Pr0.98La0.02Os4Sb12,1.8
111,Rh41Zr59,2.44
112,In2Mo6Se6,1.425
113,Th1Ir3B2,2.09
114,Ir0.95Rh0.05,0.075
115,Pt3V1,0.254
116,Bi0.9Sb0.1,5.2
117,Y1Ba2Cu2.91Zn0.09O6.6,6.0
118,Ta0.0355V0.9645,4.55
119,Ce0.005La0.995,4.935
120,Zr1Ni1.5V0.5,0.43
121,B0.67Mg0.33,6.1
122,La0.9Ce0.1Ru2,3.012
123,Mo0.3U0.7,1.97
124,Nb2In1C1,7.5
125,Ba0.91Ce0.09Fe2As2,4.12
126,Ce1Pt2.94Ni0.06Si1,0.545
127,Nb41.25Ta13.75Ir45,4.35
128,Bi1,5.867142857
129,Hg3Zr1,3.28
130,Sr1Fe1.5Ru0.5As2,10.25
131,Pb0.987Tl0.013Te1,1.32
