element,BCCfermi
H,3.21974562
He,1.723477125
Li,0.22720863
Be,8.09610906
B,10.25960696
C,8.67608379
N,6.27497729
O,3.0735335
F,-1.58696247
Ne,-0.135856645
Na,1.31524918
Mg,4.0864554
Al,7.76407342
Si,9.91441468
P,10.06787517
S,7.76558603
Cl,2.21271389
Ar,1.07931739
K,-0.05407911
Ca,2.89542357
Sc,4.45180104
Ti,2.97615095
V,6.45502198
Cr,7.97704267
Mn,7.57494268
Fe,6.45149343
Co,6.14041474
Ni,5.09579251
Cu,4.3787397
Zn,3.91507328
Ga,3.94985673
Ge,4.38004256
As,6.47464548
Se,5.61176057
Br,2.00721501
Kr,1.049049325
Rb,0.09088364
Sr,1.71056951
Y,3.23208944
Zr,4.22805065
Nb,4.90182207
Mo,8.63699786
Tc,9.04413786
Ru,8.76028027
Rh,7.36882436
Pd,5.18698918
Ag,4.0527598
Cd,3.9382943
In,8.39826763
Sn,9.05054728
Sb,8.38916182
Te,7.95791419
I,4.49323253
Xe,2.48552208
Cs,0.47781163
Ba,1.59964069
La,7.77495265
Ce,3.65500445
Pr,3.59202414
Nd,3.44641484
Pm,3.36326605
Sm,3.25688831
Eu,2.43429944
Gd,3.3984822
Tb,3.36716234
Dy,3.35771331
Ho,3.13511407
Er,3.16018015
Tm,3.10359129
Yb,1.85545181
Lu,2.96715842
Hf,4.73267057
Ta,5.43624355
W,7.37947651
Re,8.74669745
Os,8.77732215
Ir,9.63998473
Pt,7.72009177
Au,6.00475614
Hg,3.26813685
Tl,7.60896575
Pb,8.30350334
Bi,8.46315729
Po,7.310142205
At,7.310142205
Rn,7.310142205
Fr,7.310142205
Ra,7.310142205
Ac,6.15712712
Th,7.42513365
Pa,12.94746448
U,14.86914267
Np,18.54401272
Pu,19.07201771
Am,19.07201771
Cm,19.07201771
Bk,19.07201771
Cf,19.07201771
Es,19.07201771
Fm,19.07201771
Md,19.07201771
No,19.07201771
Lr,19.07201771
Rf,19.07201771
Db,19.07201771
Sg,19.07201771
Bh,19.07201771
Hs,19.07201771
Mt,19.07201771
Ds,19.07201771
Rg,
Cn,
Nh,
Fl,
Mc,
Lv,
Ts,
Og,
