index,name,Tc
0,Mo0.39Ru0.61,6.9
1,Tm4Os6Sn19,1.1
2,Nd1Bi0.99Pb0.01S2F0.3O0.7,4.85
3,V0.784Ga0.172Al0.044,9.4
4,N0.82V1,2.9
5,Be0.86Pb0.14,9.7
6,La0.9974Tb0.0026,5.28
7,Y0.9Ce0.1Ni2B2C1,11.9
8,La2.9628Gd0.0372In1,5.04
9,Pd2Zr0.9Nb0.1Al1,2.1
10,La2.9553Gd0.0447In1,4.3
11,Ho0.75Y0.25Ni2B2C1,8.9
12,Ga0.25Fe0.75Se0.85,6.8
13,Zr54.6Ti23.4Ni22,2.78
14,Ca1Hg3,1.6
15,Pr1Os3.8Ru0.2Sb12,1.655
16,Mo0.8W0.2C1,12.0
17,Ga0.02Sn0.98,3.726
18,Er0.95Gd0.05Rh4B4,7.61
19,Au0.499Ga0.501,1.17
20,In0.17Tl0.83,3.45
21,La1.78Sr0.22Cu0.98Zn0.02O4,9.555
22,Al0.08Au0.92,0.088
23,Sr1Ga0.5Si1.5,3.5
24,Nb0.995Ta0.005,9.226
25,Fe1Se0.5S0.5,2.75
26,Ce1Rh1In4.84Sn0.16,1.2
27,Na0.32Co1H2.6O3.3,2.825
28,La2Pt3Ge5,8.1
29,Ga0.1Fe0.9Se0.85,6.8
30,Nb0.64Ta0.36,6.8
31,La0.97Nd0.03Pt1Si1,3.27
32,Bi0.055Sn0.945,3.94
33,Pa1,0.61
34,Y1Ni1.9Mn0.1B2C1,12.7
35,Mg1.2C1.44B0.16Ni3,6.6
36,Pd2.2S1,1.63
37,Nb0.8V0.2,5.76
38,Fe1.03Te0.7Se0.3,12.7
39,Ge7Ir3,0.87
40,Fe0.2Ni0.8Zr2,2.13
41,Rh45Ta55,3.37
42,As1Nb3,2.353333333
43,La0.5Th0.5Sn3,4.67
44,Ba1Fe1.84Co0.13Mn0.03As2,8.0
45,La7Ru3,1.835
46,Ir0.125Rh0.125Zr0.75,10.2
47,Al0.999Fe0.001,1.5
48,Y0.6Lu0.4Ir4B4,3.06
49,Sr0.66Eu0.34Fe1.76Co0.24As2,9.82
50,Y0.9Pr0.1Ni2B2C1,11.2
51,Au0.93In0.07,0.0164
52,Co7Y9,2.85
53,La1Ru4Sb12,3.293333333
54,Al0.25Fe0.75Se0.85,8.5
55,Pd2Y0.25Tm0.75Sn1,3.06
56,Nb0.9Ru0.1,2.8
57,Ca0.67Pt3B2,1.57
58,Pt1V3.5,1.26
59,Pb0.93Tl0.075,6.98
60,Cu0.025V0.975,4.45
61,Ir1Mo1,5.325
62,Th1Ni2B2C1,6.966666667
63,Lu1Ni1.93Co0.14B2C1,10.5
64,Er0.25Ho0.75Rh4B4,6.44
65,Cd0.01In0.99,3.3445
66,U0.9622Th0.0378Be13,0.557
67,Ba1Ti2Sb1.6Sn0.4O1,2.31
68,Nb0.4Ti0.4V0.2,7.6
69,La3Te4,4.0275
70,Gd0.002Th0.998,0.714
71,Nb0.4Zr0.6,8.86
72,Ir0.99V0.01,0.11
73,Cu0.06Ta1S2,4.16
74,La1Ni1Ga2,1.97
75,Y2I0.6Br1.4C2,6.4
76,Au0.3Te0.7,1.99
77,Ho0.5Dy0.5Ni2B2C1,5.905
78,Ir0.66Mo0.34,0.25
79,Rh1W1,3.37
80,Ca0.2Ba1.55La1.25Cu3O6.98,10.4
81,Dy0.9Tm0.1Ni2B2C1,4.55
82,Cu1Th2,3.465
83,Er0.9Gd0.1Rh4B4,6.88
84,In1.015Te1,3.51
85,Pd0.7Se0.3,2.04
86,Cu0.81Ge0.19,0.24
87,Ga1Mo3,0.76
88,V2Hf0.84Nb0.16,10.67
89,Ge1.85La1,2.17
90,Nb0.72Pd0.18W0.1,1.5
91,La0.05Ce0.95Ru2,7.181
92,Lu4.5Sc0.5Ir4Si10,6.06
93,La1Sn3,6.358285714
94,Pd1Sn2,3.34
95,B2.4Nb1,9.96
96,Ba1Ni2Ge0.8P1.2,1.38
97,Mo64Ru16P20,7.31
98,Zr70.2Ti7.8Ni22,3.32
99,K0.27O3W1,0.5
100,Mo1.935Zr0.065B1C1,6.2
101,La0.8Hf0.2Bi1S2O1,2.36
102,Ta0.05V0.095,4.3
103,La0.6Y0.4,1.29
104,C1S1,9.0
105,La0.2Th0.8Ni1C2,4.2
106,Rh0.4Zr0.6,7.0
107,V0.65Ge0.1Al0.25,7.0
108,La0.2Th0.8,1.87
109,Li1.1Ti1.9O4,10.05
110,Nb25Ti74Ta1,7.55
111,C1Nb0.1Zr0.9,4.2
112,Tm1Ni1.88Co0.24B2C1,1.6
113,Ce1Co1In4.96Cd0.04,2.05
114,Pr0.98La0.02Os4Sb12,1.8
115,Rh41Zr59,2.44
116,In2Mo6Se6,1.425
117,Th1Ir3B2,2.09
118,V0.75Si0.2Al0.05,11.8
119,Ir0.95Rh0.05,0.075
120,Pt3V1,0.254
121,Bi0.9Sb0.1,5.2
122,Y1Ba2Cu2.91Zn0.09O6.6,6.0
123,Ta0.0355V0.9645,4.55
124,Ce0.005La0.995,4.935
125,Ba1Fe1.81Zn0.08Co0.11As2,11.0
126,Zr1Ni1.5V0.5,0.43
127,B0.67Mg0.33,6.1
128,La0.9Ce0.1Ru2,3.012
129,Mo0.3U0.7,1.97
